img,name,direct,geschlecht,id,href,ageGroup,lastnamefirst,federalState,party,job,office,socials
/blueprint/servlet/resource/image/864688/3x4/108/144/e24a69365808bad047240f9c478e591/77B8DC56FD50FF2BD6D86EFB8BCCB283/kiesewetter_roderich_gross.jpg,Roderich Kiesewetter,1,männlich,857588,/abgeordnete/biografien/K/kiesewetter_roderich-857588,60 - 64 Jahre,"Kiesewetter, Roderich",Baden-Württemberg,CDU/CSU,Diplom-Kaufmann,Deutscher Bundestag,"[{'Homepage': 'http://www.roderich-kiesewetter.de'}, {'Facebook': 'http://www.facebook.com/roderich.kiesewetter'}, {'X': 'http://twitter.com/RKiesewetter'}, {'LinkedIn': 'https://de.linkedin.com/in/roderich-kiesewetter-16042372'}, {'Instagram': 'https://www.instagram.com/roderich_kiesewetter/'}]"
/blueprint/servlet/resource/image/864810/3x4/108/144/25cabc57035d9d31cee98b8c40f77977/5A73320D205DC79ECCE8F4096BACEEAD/schaefer_axel_gross.jpg,Axel Schäfer,1,männlich,857946,/abgeordnete/biografien/S/schaefer_axel-857946,70 und älter,"Schäfer (Bochum), Axel",Nordrhein-Westfalen,SPD,,Deutscher Bundestag,"[{'Homepage': 'https://axelschaefer-mdb.de/'}, {'Facebook': 'https://www.facebook.com/axel.schaefer.bochum/'}, {'Instagram': 'http://instagram.com/axel.schaefer.mdb'}]"
/blueprint/servlet/resource/image/863486/3x4/108/144/500b7c34f187e4cd05a62dc5d27a089b/F1093A2A7F166A2047359D425BF18AF1/protschka_stephan.jpg,Stephan Protschka,0,männlich,857868,/abgeordnete/biografien/P/protschka_stephan-857868,45 - 49 Jahre,"Protschka, Stephan",Bayern,AfD,selbstständig,Deutscher Bundestag,"[{'Homepage': 'https://www.stephan-protschka.de/'}, {'Facebook': 'https://www.facebook.com/Protschka.Stephan/'}, {'X': 'https://twitter.com/AfDProtschka'}, {'Instagram': 'https://www.instagram.com/stephan.protschka.mdb/'}]"
/blueprint/servlet/resource/image/864662/3x4/108/144/64337af7260e28cdb391ad2c72be12dc/88C2BECF9C17EE40F4D0F27F36A23A10/kiessling_michael_gross.jpg,Michael Kießling,1,männlich,857602,/abgeordnete/biografien/K/kiessling_michael-857602,50 - 54 Jahre,"Kießling, Michael",Bayern,CDU/CSU,Diplom-Bauingenieur (FH),Deutscher Bundestag,[{'Homepage': 'https://www.kiessling-michael.de/home/'}]
/blueprint/servlet/resource/image/862616/3x4/108/144/96ffb9ce0b98535ac85cd4916baadd00/BE331966FD063B9185D45294AD22E244/schaefer_ingo.jpg,Ingo Schäfer,1,männlich,861050,/abgeordnete/biografien/S/schaefer_ingo-861050,55 - 59 Jahre,"Schäfer, Ingo",Nordrhein-Westfalen,SPD,Feuerwehrmann,Deutscher Bundestag,"[{'Homepage': 'https://www.ingo-waehlen.de/'}, {'Facebook': 'https://www.facebook.com/SPDBundestagskandidat/'}, {'X': 'https://twitter.com/ingoschaeferspd'}, {'Instagram': 'https://www.instagram.com/ingo.schaefer.nrw'}]"
/blueprint/servlet/resource/image/864190/3x4/108/144/311d876b711da5427bd552ddbaa59b96/6F8FA7D3AE1A429167FB0888487D7310/reichardt_martin_gross.png,Martin Reichardt,0,männlich,857894,/abgeordnete/biografien/R/reichardt_martin-857894,50 - 54 Jahre,"Reichardt, Martin",Sachsen-Anhalt,AfD,Offizier,Deutscher Bundestag,"[{'Facebook': 'https://www.facebook.com/MartinReichardtAfD/'}, {'X': 'https://twitter.com/M_Reichardt_AfD'}, {'Instagram': 'https://www.instagram.com/accounts/login/?next=/martin.reichardt.afd/'}, {'Youtube': 'https://www.youtube.com/c/martinreichardtafd'}]"
/blueprint/servlet/resource/image/864658/3x4/108/144/70c5aaf8ca86605680598e0da9ca596/0147CFDD292DFDFE4D8A341135A4C513/kippels_georg_gross.jpg,Dr. Georg Kippels,1,männlich,857584,/abgeordnete/biografien/K/kippels_georg-857584,60 - 64 Jahre,"Kippels, Dr. Georg",Nordrhein-Westfalen,CDU/CSU,Rechtsanwalt,Deutscher Bundestag,[{'Homepage': 'https://www.georg-kippels.de/'}]
/blueprint/servlet/resource/image/873956/3x4/108/144/3a790cc4e646d053619e8e7bc1d548e6/8987930CF79AEDEEC9C732FCF0C62166/schaetzl_johannes.jpg,Johannes Schätzl,0,männlich,860286,/abgeordnete/biografien/S/schaetzl_johannes-860286,30 - 34 Jahre,"Schätzl, Johannes",Bayern,SPD,Informatiker,Deutscher Bundestag,"[{'Homepage': 'https://Johannes-Schaetzl.de'}, {'Facebook': 'https://www.facebook.com/schaetzljohannes'}, {'X': 'http://twitter.com/schaetzlJo'}, {'Instagram': 'https://www.instagram.com/johannesschaetzl/'}]"
/blueprint/servlet/resource/image/864200/3x4/108/144/8f1bec9784b767f77cd23ebba93ae161/2551AF5F630CE4ABB6EF01C5EDFE876C/renner_martin_bild.png,Martin Erwin Renner,0,männlich,857898,/abgeordnete/biografien/R/renner_martin-857898,65 - 69 Jahre,"Renner, Martin Erwin",Nordrhein-Westfalen,AfD,Diplom-Betriebswirt,Deutscher Bundestag,"[{'Homepage': 'http://www.martin-e-renner.de/'}, {'Facebook': 'https://www.facebook.com/profile.php?id=100007329880766'}, {'X': 'https://twitter.com/Renner_AfD'}, {'Youtube': 'https://www.youtube.com/channel/UCSyY7VxWrDPbbQL_R0Z6anw'}]"
/blueprint/servlet/resource/image/862188/3x4/108/144/eecd884b60a3f11cc3815c657ae0b100/73968162FFD29811F11AB1BE90BE3735/klein_ottilie.jpg,Dr. Ottilie Klein,0,weiblich,860522,/abgeordnete/biografien/K/klein_ottilie-860522,40 - 44 Jahre,"Klein, Dr. Ottilie",Berlin,CDU/CSU,Abteilungsdirektorin,Deutscher Bundestag,"[{'Homepage': 'https://ottilieklein.de/'}, {'Facebook': 'https://www.facebook.com/ilovemitte'}, {'Twitter': 'https://twitter.com/Ottilie_Klein'}, {'Instagram': 'https://www.instagram.com/ottilie.klein/'}]"
/blueprint/servlet/resource/image/869728/3x4/108/144/f8f2f4ac94275d4130783cbdb745ab9/15ECE02EC2909E3663E7C8A706AD16ED/schamber_rebecca.jpg,Rebecca Schamber,1,weiblich,860884,/abgeordnete/biografien/S/schamber_rebecca-860884,45 - 49 Jahre,"Schamber, Rebecca",Niedersachsen,SPD,Diplom-Juristin,Deutscher Bundestag,"[{'Homepage': 'http://www.rebecca-schamber.de'}, {'Facebook': 'http://www.facebook.com/Rebecca.SchamberSPD'}, {'Instagram': 'http://www.instagram.com/Rebecca.Schamber.SPD'}]"
/blueprint/servlet/resource/image/863066/3x4/108/144/6be6b6d82aa1dfcba3fa788e76cf0fc9/1BC1264012617CE5BB9AC4447BE1B94D/rinck_frank.jpg,Frank Rinck,0,männlich,861108,/abgeordnete/biografien/R/rinck_frank-861108,35 - 39 Jahre,"Rinck, Frank",Niedersachsen,AfD,Landwirt,Deutscher Bundestag,"[{'Homepage': 'https://frank-rinck.de/'}, {'Facebook': 'https://www.facebook.com/Frank-Rinck-104840074825135'}]"
/blueprint/servlet/resource/image/864666/3x4/108/144/19428b41044512d8b3185a41ee86833a/DD26D79D8B0168D979CC6ACBD2E840A8/klein_volkmar_gross.jpg,Volkmar Klein,1,männlich,857570,/abgeordnete/biografien/K/klein_volkmar-857570,60 - 64 Jahre,"Klein, Volkmar",Nordrhein-Westfalen,CDU/CSU,Diplom-Volkswirt,Deutscher Bundestag,"[{'Homepage': 'http://www.volkmarklein.de'}, {'Facebook': 'http://www.facebook.com/Volkmar-Klein.de'}, {'X': 'http://twitter.com/VolkmarKlein'}, {'Linkedin': 'http://linkedin.com/in/volkmarklein/'}, {'Instagram': 'http://instagram.com/volkmarklein/'}]"
/blueprint/servlet/resource/image/863302/3x4/108/144/c693b82735b5bd79907a51841918904e/26AA1E4EA4E15DA986561D93BB9C8392/seidler_stefan.jpg,Stefan Seidler,0,männlich,863288,/abgeordnete/biografien/S/seidler_stefan-863288,40 - 44 Jahre,"Seidler, Stefan",Schleswig-Holstein,fraktionslos,Deutsch-Dänischer Koordinator,Deutscher Bundestag,"[{'Homepage': 'https://stefan-seidler.info/'}, {'X': 'https://twitter.com/stefan_seidler'}, {'Instagram': 'https://www.instagram.com/stefan.seidler.ssw/'}, {'Facebook': 'https://www.facebook.com/stefan.seidler1'}, {'LinkedIn': 'https://www.linkedin.com/in/stefanseidler/'}, {'SonstigeWebsite': 'https://www.ssw.de/'}]"
/blueprint/servlet/resource/image/864734/3x4/108/144/988252b9f23af5ec939432fc4cb6cba/81BEDF4F0473CB10B8898642138C1686/scheer_nina_bild.jpg,Dr. Nina Scheer,1,weiblich,857962,/abgeordnete/biografien/S/scheer_nina-857962,50 - 54 Jahre,"Scheer, Dr. Nina",Schleswig-Holstein,SPD,Juristin / Politikwissenschaftlerin / Musikerin,Deutscher Bundestag,"[{'Homepage': 'http://www.nina-scheer.de/'}, {'Facebook': 'https://www.facebook.com/ninascheer.spd'}, {'X': 'https://twitter.com/NinaScheer_SPD'}, {'Instagram': 'https://instagram.com/NinaScheer_SPD'}]"
/blueprint/servlet/resource/image/862352/3x4/108/144/f2183986e700b4d031b7efde07da1cad/729D9A1797E4A46EB23961775706C241/rothfuss_rainer.jpg,Dr. Rainer Rothfuß,0,männlich,861124,/abgeordnete/biografien/R/rothfuss_rainer-861124,50 - 54 Jahre,"Rothfuß, Dr. Rainer",Bayern,AfD,Geopolitik-Analyst,Deutscher Bundestag,"[{'Homepage': 'https://www.rainer-rothfuss.de/'}, {'Facebook': 'https://www.facebook.com/Dr.Rainer.Rothfuss'}, {'X': 'https://twitter.com/DrRothfuss'}, {'LinkedIn': 'https://www.linkedin.com/in/dr-rainer-rothfuß-0b900b22'}, {'Instagram': 'https://www.instagram.com/dr.rainer.rothfuss'}, {'youtube': 'https://www.youtube.com/@DrRainerRothfuss'}]"
/blueprint/servlet/resource/image/867456/3x4/108/144/b1642784c73b8f4f788bf260c7b96154/9BB8D5EFD28330A15EB767AC7F4A3E82/kloeckner_julia.jpg,Julia Klöckner,0,weiblich,861140,/abgeordnete/biografien/K/kloeckner_julia-861140,50 - 54 Jahre,"Klöckner, Julia",Rheinland-Pfalz,CDU/CSU,"Chefredakteurin, Bundesministerin a. D. ",Deutscher Bundestag,"[{'Homepage': 'http://www.julia-kloeckner.de'}, {'Facebook': 'http://www.facebook.com/juliakloeckner'}, {'X': 'http://www.twitter.com/JuliaKloeckner'}, {'Instagram': 'http://www.instagram.com/juliakloeckner'}, {'Linkedin': 'https://de.linkedin.com/in/julia-kl%C3%B6ckner-0a751923a'}]"
/blueprint/servlet/resource/image/864730/3x4/108/144/572baebdebc60396d5b90e49a8874df8/B30DB8B56EFAE696429D6C5432F2ABB0/schieder_marianne_gross.jpg,Marianne Schieder,0,weiblich,857968,/abgeordnete/biografien/S/schieder_marianne-857968,60 - 64 Jahre,"Schieder, Marianne",Bayern,SPD,Juristin,Deutscher Bundestag,"[{'Homepage': 'http://www.marianne-schieder.de/'}, {'Facebook': 'https://www.facebook.com/MarianneSchieder'}, {'X': 'http://www.twitter.com/@m_schieder'}, {'Instagram': 'https://www.instagram.com/marianneschieder'}]"
/blueprint/servlet/resource/image/862618/3x4/108/144/85ce063793ce8cd325a50c9a33400ffb/5C68C01536836DF9BF3383AF678BE342/schattner_bernd.jpg,Bernd Schattner,0,männlich,861158,/abgeordnete/biografien/S/schattner_bernd-861158,55 - 59 Jahre,"Schattner, Bernd",Rheinland-Pfalz,AfD,Geschäftsführer,Deutscher Bundestag,"[{'Homepage': 'http://bernd-schattner.de/'}, {'Facebook': 'https://www.facebook.com/bernd.schattner.AfD'}, {'Instagram': 'https://www.instagram.com/schattner_bernd_afd/'}]"
/blueprint/servlet/resource/image/864676/3x4/108/144/afd9e22b09dbf5c5830fe59ad56150c6/163F911879F5DF2C8377321F96ACC7A3/knoerig_axel_gross.jpg,Axel Knoerig,1,männlich,857578,/abgeordnete/biografien/K/knoerig_axel-857578,55 - 59 Jahre,"Knoerig, Axel",Niedersachsen,CDU/CSU,Politik- und Kommunikationswissenschaftler,Deutscher Bundestag,"[{'Homepage': 'http://www.axel-knoerig.de'}, {'Facebook': 'https://www.facebook.com/axel.knoerig'}, {'X': 'https://twitter.com/axel_knoerig'}, {'LinkedIn': 'https://www.linkedin.com/in/axel-knoerig'}, {'Instagram': 'https://www.instagram.com/axelknoerig'}]"
/blueprint/servlet/resource/image/864794/3x4/108/144/7fda299cd9b2a8cd81be404501a8b7a9/419B75A7FF017842847E887392EB8F16/schiefner_udo_gross.jpg,Udo Schiefner,0,männlich,857940,/abgeordnete/biografien/S/schiefner_udo-857940,60 - 64 Jahre,"Schiefner, Udo",Nordrhein-Westfalen,SPD,Qualitätssicherungstechniker,Deutscher Bundestag,[]
/blueprint/servlet/resource/image/864728/3x4/108/144/9669efb0c7dc36d6afa940a46e0d33a9/04EC5D4F714ABCDF25111D60DB741B5E/schielke_ziesing_ulrike_gross.jpg,Ulrike Schielke-Ziesing,0,weiblich,857954,/abgeordnete/biografien/S/schielke_ziesing_ulrike-857954,50 - 54 Jahre,"Schielke-Ziesing, Ulrike",Mecklenburg-Vorpommern,AfD,Verwaltungswirtin,Deutscher Bundestag,"[{'Homepage': 'https://ulrike-schielke-ziesing.de/'}, {'Facebook': 'https://www.facebook.com/UlrikeSchielkeZiesingAfD/'}, {'X': 'https://twitter.com/ulschzi'}]"
/blueprint/servlet/resource/image/862220/3x4/108/144/2213804b2964b164681c890ffeb5b56d/EA1E3F2CA961B0F6129B3F1A8546E67B/konig_anne.jpg,Anne König,1,weiblich,861538,/abgeordnete/biografien/K/koenig_anne-861538,35 - 39 Jahre,"König, Anne",Nordrhein-Westfalen,CDU/CSU,Gesamtschulrektorin,Deutscher Bundestag,"[{'Homepage': 'https://www.annekoenig.de'}, {'X': 'https://www.twitter.com/annekoenig_'}, {'Instagram': 'https://www.instagram.com/annekoenig_/'}, {'Facebook': 'https://www.facebook.com/Anne-König-104479264881235'}]"
/blueprint/servlet/resource/image/862622/3x4/108/144/b6a9f4a13b9d0dc70b434a2666e2b4b/74F0D6C2A51770C4B875584B6356668B/schierenbeck_peggy.jpg,Peggy Schierenbeck,0,weiblich,860880,/abgeordnete/biografien/S/schierenbeck_peggy-860880,50 - 54 Jahre,"Schierenbeck, Peggy",Niedersachsen,SPD,Coach Führung und Verantwortung,Deutscher Bundestag,"[{'Homepage': 'https://www.peggy-schierenbeck.de/'}, {'Facebook': 'https://www.facebook.com/pschierenbeck'}, {'Instagram': 'https://www.instagram.com/peggy.ist.da/'}]"
/blueprint/servlet/resource/image/863242/3x4/108/144/fd32f9d2d237cdba943d5a9b851d20b9/1394240059B3EF4845595A0D4F366C8B/schmidt_eugen.jpg,Eugen Schmidt,0,männlich,861178,/abgeordnete/biografien/S/schmidt_eugen-861178,45 - 49 Jahre,"Schmidt, Eugen",Nordrhein-Westfalen,AfD,Diplom-Informatiker,Deutscher Bundestag,"[{'Homepage': 'https://eugen-schmidt-mdb.de/'}, {'Facebook': 'https://www.facebook.com/eugen.schmidt.afd'}, {'X': 'https://twitter.com/AfDrus'}, {'Instagram': 'https://www.instagram.com/accounts/login/?next=/afdrus/'}, {'Youtube': 'https://www.youtube.com/channel/UCI8cwWG8IbIFdUBPF3L0FuA'}, {'TikTok': 'https://www.tiktok.com/@eugen_schmidt.mdb'}, {'Telegram': 'https://t.me/EugenSchmidtMdB'}]"
/blueprint/servlet/resource/image/864694/3x4/108/144/ef2a1126af7aaabbf1d9f8365e7de0d4/C2B40F2503D6472C2D3010961DB4E8B7/koeppen_jens_gross.jpg,Jens Koeppen,0,männlich,857548,/abgeordnete/biografien/K/koeppen_jens-857548,60 - 64 Jahre,"Koeppen, Jens",Brandenburg,CDU/CSU,Elektromeister,Deutscher Bundestag,"[{'Homepage': 'http://www.jens-koeppen.de/'}, {'Facebook': 'https://www.facebook.com/jens.koeppen'}, {'X': 'https://twitter.com/JensKoeppen'}, {'Instagram': 'https://www.instagram.com/jens_koeppen/'}]"
/blueprint/servlet/resource/image/862624/3x4/108/144/f767f72703d5ab0cb49c63301a37f743/719D94381B2497E9CD8DB0ED1C237F42/schisanowski_timo.jpg,Timo Schisanowski,1,männlich,861110,/abgeordnete/biografien/S/schisanowski_timo-861110,40 - 44 Jahre,"Schisanowski, Timo",Nordrhein-Westfalen,SPD,Wirtschaftsjurist,Deutscher Bundestag,"[{'Homepage': 'https://timo-schisanowski.de/'}, {'Facebook': 'http://www.facebook.de/timo.schisanowski'}, {'Instagram': 'http://www.instagram.com/timo.schisanowski'}]"
/blueprint/servlet/resource/image/862370/3x4/108/144/f6194405edbd3d5268edcb97217564b3/3F9AF326202B40E07AE81955EF5B2AE3/schmidt_jan-wenzel_bild.jpg,Jan Wenzel Schmidt,0,männlich,861180,/abgeordnete/biografien/S/schmidt_jan-861180,30 - 34 Jahre,"Schmidt, Jan Wenzel",Sachsen-Anhalt,AfD,Handelsfachwirt,Deutscher Bundestag,"[{'Homepage': 'https://jan-wenzel-schmidt.de'}, {'X': 'https://twitter.com/jws_afd'}, {'Instagram': 'https://www.instagram.com/jws_afd'}, {'Facebook': 'https://www.facebook.com/jan.schmidt.afd'}, {'Youtube': 'https://www.youtube.com/janwenzelschmidtafd'}]"
/blueprint/servlet/resource/image/864696/3x4/108/144/5c7a3bea9f2755ac29c7c45f674b63c6/07D1B30C09774F2E2B773BAC5FAAC973/koerber_carsten_gross.jpg,Carsten Körber,0,männlich,857574,/abgeordnete/biografien/K/koerber_carsten-857574,40 - 44 Jahre,"Körber, Carsten",Sachsen,CDU/CSU,Betriebswirt,Deutscher Bundestag,"[{'Homepage': 'http://www.carsten-koerber.de'}, {'Facebook': 'https://www.facebook.com/koerber.carsten'}, {'X': 'https://www.twitter.com/carstenkoerber'}, {'Instagram': 'http://instagram.com/carsten.koerber'}]"
/blueprint/servlet/resource/image/869690/3x4/108/144/e56c3f0d5860cfec7450d56bd73c124d/84F3E636C1C8D1B9B9B8AA28BF75BE17/schmid_christoph_gross.jpg,Christoph Schmid,0,männlich,860280,/abgeordnete/biografien/S/schmid_christoph-860280,45 - 49 Jahre,"Schmid, Christoph",Bayern,SPD,"Politikwissenschaftler, Bürgermeister a.D.",Deutscher Bundestag,"[{'Homepage': 'https://christoph-schmid.spd.de'}, {'Facebook': 'https://www.facebook.com/@christophalerheim'}, {'X': 'https://www.twitter.com/@kratermensch'}, {'Instagram': 'https://www.instagram.com/christoph.schmid.alerheim'}, {'Youtube': 'https://www.youtube.com/@meinroteabc Christoph Schmid'}]"
/blueprint/servlet/resource/image/864772/3x4/108/144/837f10d7a8a5efec4e856ed06b2c85f9/7052D3899F5F4D79C6E65A466C7923A1/schneider_joerg_bild.jpg,Jörg Schneider,0,männlich,858002,/abgeordnete/biografien/S/schneider_joerg-858002,55 - 59 Jahre,"Schneider, Jörg",Nordrhein-Westfalen,AfD,Diplom-Wirtschaftsingenieur,Deutscher Bundestag,"[{'Facebook': 'https://www.facebook.com/JoergSchneiderAfD/'}, {'X': 'https://twitter.com/Schneider_AfD'}]"
/blueprint/servlet/resource/image/864644/3x4/108/144/88845dd20647c23590827de08e0d2d5/BEB56F30286D51AD3AC86A15B92237EC/koob_markus_gross.jpg,Markus Koob,1,männlich,857592,/abgeordnete/biografien/K/koob_markus-857592,45 - 49 Jahre,"Koob, Markus",Hessen,CDU/CSU,,Deutscher Bundestag,"[{'Homepage': 'https://markus-koob.de/'}, {'Facebook': 'https://www.facebook.com/koobmarkus'}, {'Instagram': 'http://www.instagram.com/markuskoob_'}]"
